country,,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id,country
argentina,85,rayyan-339918978,Degradation processes and adaptive strategies in communal forests of Argentine dry Chaco. Integrating stakeholder knowledge and perceptions,2021,1,1,,,17.0,1.0,,"Cotroneo S.M., Jacobo E.J., Brassiolo M.M.",,,,,"Forest replacement and degradation driven by crop expansion and livestock intensification are some of the main global socio-ecological threats, severely affecting the dry Chaco region (main dry forest in America). By involving stakeholders, whose actions are decisive in dealing with the problem under analysis, we assessed the interactions among processes of multiple dimensions and spatial scales, currently controlling communal forest degradation in 11 peasant communities of Taboada, Ibarra and Salavina departments, in Santiago del Estero province, Argentina. Then, by reconstructing historical processes undergone by these communities over the last century, we analyzed how different system settings have conducted to the system collapse (forests and community loss) or strengthened its adaptive capacity facing natural disturbances (droughts) and anthropogenic stressors (economic shocks, land disputes). This work unveils system attributes related to native resource management and economic diversification on the farm, family and community structure, and social networking with peasant organizations and other institutions, crucial for building social–ecological resilience. Alternative trajectories are shown towards degradation (throughout a downward spiral, often followed by peasant exodus and deforestation) or restoration. Our results would explain why forest (protection) law and state subsidies aimed at sustainable management have been insufficient and suggest some clues to reorient them. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,context,argentina,socioeconomic",,,argentina
bolivia,102,rayyan-339919038,Perceptions and livestock predation by felids in extensive cattle ranching areas of two Bolivian ecoregions,2019,1,1,,,65.0,3.0,,"Villalva P., Palomares F.",,,,,"Human-carnivore conflicts arise as one of the most urgent carnivore conservation issues worldwide. Jaguars (Panthera onca) and pumas (Puma concolor) coexist with livestock in much of their range and have been historically blamed for livestock predation. At present, livestock landscapes are increasing, enlarging the conflict scenario where local perceptions are vital to understand the context in which the conflict emerges and data of livestock predation become an effective tool to plunge into it. We assess local perceptions about felids and identify the bases of the conflict in the Bolivian Pantanal and dry forest ecoregions using livestock predation data. We interviewed local ranchers and crossed information with the governmental livestock database achieving a comprehensive study on the conflict, based on descriptive statistics for local perceptions and generalized linear mixed models for analyzing cattle predation by felids. The conflict appeared to be widespread since most ranchers suffered predation on cattle, especially in the Pantanal. Annual cattle loss is generally low (1.8%) with some exceptions that may magnify the generalized negative perception towards felids. Factors related to cattle management practices explained better felid predation on livestock rather than habitat quality of the ranch or ranchers’ attitude towards felids. We recommend local administrations to recover livestock predation data and to highlight the importance that husbandry practices may have to reduce cattle losses by felids. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia,ranching context",,,bolivia
bolivia,57,rayyan-335337484,Smokey the tapir: Traditional fire knowledge and fire prevention campaigns in lowland Bolivia,2005,1,1,,,18.0,10.0,,"McDaniel J., Kennard D., Fuentes A.",,,,,"Severe wildfires devastated the southeastern Bolivian lowlands during 1999-2001. In response, the Bolivian government instituted an education campaign to reduce rural burning. Working with Chiquitano Indians in the southeastern lowlands, we were interested in finding out (1) the level of knowledge of fire behavior and the ecological role of fire in shaping forest and savannah ecosystems, and (2) current attitudes in Lomerio toward fire as a land management tool. We conducted key informant interviews in the Chiquitano territory of Lomerio to document Chiquitano knowledge of and attitudes toward fire practices. Informants expressed knowledge of fire behavior and effects, recognizing the effects of wind, relative humidity, and fuel moisture on fire intensity, and the effects of fire intensity on soil fertility. Informants revealed a complex understanding of the role of fire in maintaining the structure and composition of savannahs and how fire interacts with changing cattle production, climatic, and demographic conditions. Copyright © 2005 Taylor & Francis Inc.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia,indigenous,farming context",,,bolivia
bolivia,50,rayyan-335337249,Faunal resource use by the Chimane of eastern Bolivia: policy notes on a biosphere reserve,1995,1,1,,,,,,Chicchon A.,,,,,"Describes patterns of land and resource use in forest, savanna, and river ecosystems by three different settlements of Chimane. They inhabit the multiple use zone of the Beni Biosphere Reserve in Bolivia. This reserve was arranged by Conservation International as a debt-for-nature swap. It has a management plan that integrates the interests of both conservationists and indigenes. Also discusses the policy implications of these research findings for the conservation of biodiversity and sustainable development of the economy of local peoples, emphasizing that these needs must be considered by planners and administrators of protected areas. -from Editor","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia",,,bolivia
brazil,140,rayyan-339919378,Alternative biodiesel feedstock systems in the Semi-arid region of Brazil: Implications for ecosystem services,2018,1,1,,,81.0,,,"Sánchez A.S., Almeida M.B., Torres E.A., Kalid R.A., Cohim E., Gasparatos A.",,,,,"The Northeast region of Brazil has low levels of human development and a marginal environment subject to chronic water scarcity. This paper assesses the potential impacts of bioenergy production from local varieties of castor oil plant and jatropha that could reduce the import of energy in the region, while developing its economy. Biodiesel systems based on these crops can be suitable for the Northeast region as they have low water needs, and are either indigenous or have shown excellent adaptation to the local climate. Apart from biodiesel production, the residue from their processing can be a valuable resource usable for biogas production and bio-fertilizers. Using the ecosystem services approach, five land management alternatives are compared: (i) Caatinga woodland (a type of dry savannah native to the region), (ii) a scheme of local jatropha varieties and vegetation for Caatinga forest restoration, (iii) a crop rotation scheme of castor oil plant and cowpeas, (iv) cowpea mono-cropping, and (v) pasture. Based on the analysis of secondary data, some provisioning and regulating services were assessed quantitatively, while others qualitatively. The results suggest that the conversion of (i) cowpea mono-cropping to a rotation of cowpeas and castor and (ii) degraded pastures to a jatropha-Caatinga forest restoration scheme can provide a bundle of provisioning, regulating and supporting ecosystem services. Feedstock for bioenergy is the most important ecosystem service derived from these multi-functional landscapes. In particular converting pasture to a jatropha-Caatinga forest restoration scheme could provide per hectare 0.7 t of oilseeds for biodiesel production and 1.8 GJ of usable energy, in the form of biogas from the residual seedcake. The castor-cowpea rotation scheme could provide per hectare 1.5 t of oilseeds for biodiesel production together with 2.2 GJ of usable biogas energy, per hectare. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,socioeconomic",,,brazil
brazil,127,rayyan-339919259,Impacts of the implementation of silvopastoral systems on biodiversity of native plants in a traditional community in the Brazilian Savanna,2017,1,1,,,91.0,6.0,,"Lima I.L.P., Scariot A., Giroldo A.B.",,,,,"Large-scale commercial cattle ranching is the main driver of deforestation in the world, with several negative environmental and social impacts. To meet the growing demand for animal products, silvopastoral systems (SPS) can be an alternative as they have greater biodiversity and offer more environmental services than conventional cattle ranching systems. This paper aims to describe the implementation of SPS by traditional farmers in a rural settlement in southeastern Brazil, and the impacts on biodiversity of native plants. SPS were implemented by farmers in three selected areas that were cleared with a tractor. The impacts on the community and populations of native plants were estimated through vegetation sampling before and after the implementation of the SPS. Direct observations and semi-structured interviews were conducted to describe the implementation of the system and to understand the criteria employed to spare species, to manage native plants and the advantages of these systems according to farmers’ perceptions. Before the implementation, 1038 trees from 50 species and 29 botanical families were surveyed in the three areas. The tractor cleared on average 72 % of the trees, decreasing the number of trees ha−1 from 692 to 180 and reducing tree richness in 43 %. On average, 89 % of the removed trees had diameter ranging from 5 to 10 cm, indicating farmers’ preference in sparing the thickest trees. Farmers also spare useful species that have socio-economic importance, such as timber, fruit trees, fodder and medicine. According to the farmers, the advantages of the SPS are the high concentration of useful species, the environmental services provided and the increase in livestock production. The system described has great potential to ensure food security, generating socio-economic benefits for farmers and contributing to biodiversity conservation. © 2016, Springer Science+Business Media Dordrecht.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,southeastern",,,brazil
brazil,179,rayyan-339919730,Fire drives abandoned pastures to a savanna-like state in the Brazilian Atlantic Forest,2020,1,1,,,18.0,1.0,,"Sansevero J.B.B., Garbin M.L., Sánchez-Tapia A., Valladares F., Scarano F.R.",,,,,"Most tropical forests are threatened by a myriad of human-induced disturbances, associated with land use changes, altered fire regimes and direct deforestation. The combined effect of multiple disturbances can shift forests towards a new, resilient state that is qualitatively distinct in structure, species composition and function. We found that abandoned pastures affected by fires in the Brazilian Atlantic forest showed similarity in terms of vegetation structure and plant functional traits to a savanna-like ecosystem. Burned communities exhibited more C4 grass cover, higher proportion of resprouts and lower canopy cover as compared to the old-growth forest. Moreover, 79% of woody species at the burned sites are generalists with a widespread distribution, which includes the cerrado (Brazilian savanna). Woody species composition was strikingly different from old-growth forests, since burned sites were dominated by Moquiniastrum polymorphum (Less.) G. Sancho (Asteraceae), a fire-resistant species with a ruderal behavior that was absent in the old-growth forests. The results observed in this study provide biological evidence for an arrested succession with the establishment of a savanna-like ecosystem as an alternative stable state. These findings reinforce the notion that the establishment of an alternative stable state (e.g., savanna-like state) hypothesis for the Brazilian Atlantic Forest should be considered, especially under the current climate change scenarios. © 2019 Associação Brasileira de Ciência Ecológica e Conservação","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,abandonment,land use pathways",,,brazil
brazil,109,rayyan-339919133,Recent use history of South American savannah land. Case studies in the Orinoco savannahs [Historia del uso reciente de tierras de las sabanas de America del sur. Estudios de casos en sabanas del Orinoco],2005,1,1,,,30.0,10.0,,"López-Hernández D., Hernández-Hernández R.M., Brossard M.",,,,,"South American savannahs cover a surface of 269×10 6ha in Brazil, Colombia, Venezuela, Guyana and Bolivia. In a world scale savannahs are one of the most important land extensions with agricultural potential for crop and forestry production. These territories also constitute the main alternative to agricultural expansion into ecologically fragile tropical areas such as tropical rainforests and hillsides. Forty years ago anthropic activity had little effect on Latin American savannahs, since they were used for extensive cattle raising. In the last four decades, however, the natural herbaceous vegetation with low nutrient requirements in the savannahs (llanos) of Colombia and Venezuela, as well as in the Cerrado (Brazil) has been replaced by introduced African pastures, particularly from the genera Brachiaria and Andropogon. Furthermore, intensive reforestation programs for timber and pulpwood commercialization have introduced species able to cope with the environmental conditions, such as Pinus and Eucaliptus. The introduction of African pastures and annual and perennial crops has been possible with fertilization (N, P, K and lime). The landscape modifications caused by these land uses are usually far from the urban areas and are still considered to be low. However, if the entire land surface currently affected by agriculture and agroforestry use and the land yet to be incorporated into projects is taken into consideration, a profound modification is expected to occur in these biomes. Herein is presented a preliminary comparative review of the agricultural colonization processes in the Llanos and Cerrados. In the need to generate indicators related to biogeochemical processes, three case studies from Venezuelan savannahs are presented.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,guyana,llanos,cerrado,context,history,orinoco,colombia,Venezuela",,,brazil
brazil,94,rayyan-339919018,Management impacts on fire occurrence: A comparison of fire regimes of African and South American tropical savannas in different protected areas,2018,1,1,,,218.0,,,"Alvarado S.T., Silva T.S.F., Archibald S.",,,,,"Humans can alter fire dynamics in grassland systems by changing fire frequency, fire seasonality and fuel conditions. These changes have effects on vegetation structure and recovery, species composition, and ecosystem function. Understanding how human management can affect fire regimes is vital to detect potential changes in the resilience of plant communities, and to predict vegetation responses to human interventions. We evaluated the fire regimes of two recently protected areas in Madagascar (Ibity and Itremo NPA) and one in Brazil (Serra do Cipó NP) before and after livestock exclusion and fire suppression policies. We compare the pre- and post-management fire history in these areas and analyze differences in terms of total annual burned area, density of ignitions, burn scar size distribution, fire return period and seasonal fire distribution. More than 90% of total park areas were burned at least once during the studied period, for all parks. We observed a significant reduction in the number of ignitions for Ibity NPA and Serra do Cipó NP after livestock exclusion and active fire suppression, but no significant change in total burned area for each protected area. We also observed a seasonal shift in burning, with fires happening later in the fire season (October–November) after management intervention. However, the protected areas in Madagascar had shorter fire return intervals (3.23 and 1.82 years) than those in Brazil (7.91 years). Our results demonstrate that fire exclusion is unattainable, and probably unwarranted in tropical grassland conservation areas, but show how human intervention in fire and vegetation patterns can alter various aspects of the fire regimes. This information can help with formulating realistic and effective fire management policies in these valuable conservation areas. © 2018 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: fire,brazil,context",,,brazil
brazil,126,rayyan-339919258,The use of fire in the cerrado and Amazonian rainforests of Brazil: Past and present,2011,1,1,,,7.0,1.0,,Pivello V.R.,,,,,"Humans have been changing the natural fire regimes in most Brazilian vegetation types for over 4000 years. Natural lightning fires can easily happen in savannas and grasslands, but they are rare in the moist rainforests. Today, anthropogenic fires are frequent in both the fire-adapted cerrado (Brazilian savanna) and the fire-sensitive rainforest. In this paper, I compare two very different biomes concerning their susceptibilities and responses to fire: the Amazon rainforest and the cerrado. I present an overview of their fire history, especially regarding human-made fires for land management, and pull together information about the use of fire by indigenous peoples in the cerrado and the Amazon, as this information is very fragmented. Accordingly, I describe how fire regimes have changed in these biomes over time due to agricultural practices and the consequences of the current altered fire regimes. After European settlement, fire frequency greatly increased in the cerrado, especially related to cattle ranching, and more recently in the more seasonal landscapes in the Amazon. In cerrado natural preserves, however, managers try to keep fire away, but wildfires eventually come and develop into destructive events. Actions to reduce biodiversity loss and environmental deterioration due to inappropriate fire management are necessary and should be very distinct in both areas: in the Amazon they would include the development of policies to stimulate fire-free, small-scale agricultural projects, and in the cerrado, sustainable use of fire for cattle ranching is possible but the regimes must be fitted to local specific features in order to avoid land degradation. In cerrado conservation areas, proper fire management programs based on scientific knowledge and the incorporation of the traditional expertise of indigenous peoples are needed to maintain the biological diversity, to maintain the ecological processes, and to reduce wildfires.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
brazil,107,rayyan-339919108,Protecting forests at the expense of native grasslands: Land-use policy encourages open-habitat loss in the Brazilian cerrado biome,2019,1,1,,,17.0,1.0,,"Bonanomi J., Tortato F.R., Gomes R.D.S.R., Penha J.M., Bueno A.S., Peres C.A.",,,,,"The agricultural conversion of natural habitats is one of the main drivers of biodiversity loss worldwide. In the ∼2 million km 2 Brazilian cerrado biome, a global biodiversity hotspot, vast areas have been converted into croplands and cattle pastures. Because the cerrado biome is overwhelmingly contained within private lands, Brazil's environmental legislation should serve as a decisive instrument in protecting these natural ecosystems. We assessed the role of Legal Reserves (LRs), legally defined as the minimum proportion of private landholdings set aside to protect natural vegetation, in the conservation of the cerrado biome. We assume that the property-scale allocation of LRs is primarily based on economic decision-making, creating a bias against cerrado protection. We therefore assessed the area ratio between forest vegetation (FV) and grassland vegetation (GV) areas across LRs within 48,762 landholdings, 9 formal protected areas (PAs) and 34 Indigenous Lands (ILs) within the cerrado (sensu lato) of the 903,357-km 2 state of Mato Grosso, Brazil. We show that there are 7.26 ha of forest lands for each hectare of native grasslands within private RLs of the cerrado biome within Mato Grosso, a ratio almost three-fold larger than that found in formal PAs and ILs. ILs protect in absolute values (hectares) six-fold more native grassland vegetation than PAs. We discuss the policy relevance of this severe land-use bias in maintaining the heterogeneity of cerrado habitats for biodiversity conservation within private properties, which account for 90% of the entire cerrado biome. © 2018 Associação Brasileira de Ciência Ecológica e Conservação","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,policy,cerrado,political ecology",,,brazil
brazil,135,rayyan-339919332,"The Fate of an Amazonian Savanna: Government Land-Use Planning Endangers Sustainable Development in Amapá, the Most Protected Brazilian State",2017,1,1,,,10.0,,,"Hilário R.R., de Toledo J.J., Mustin K., Castro I.J., Costa-Neto S.V., Kauano É.E., Eilers V., Vasconcelos I.M., Mendes-Junior R.N., Funi C., Fearnside P.M., Silva J.M.C., Euler A.M.C., de Carvalho W.D.",,,,,"Although Amapá is the most protected Brazilian state, the same level of protection does not extend to its savannas. These are currently suffering increased pressure from threats including large-scale agriculture, particularly the expansion of soybean plantations. In September 2016, the Government of Amapá presented a zoning proposal (Zoneamento Socioambiental do Cerrado [ZSC]) that reserves most of the savannas for agricultural activities. Here, we outline how the methodology employed is flawed because it does not include fauna surveys, evaluations of ecosystem services or an assessment of the social importance of the savannas. The ZSC authors admit that, contrary to Brazilian legislation, the zoning was carried out with the single intention of increasing agriculture production. Current knowledge indicates that Amapá’s savannas are rich in biodiversity, including endemic and threatened species, and are also home to a rich culture of traditional populations. These savannas are important providers of ecosystem services that, if intact, could represent around US$ 1.52 billion annually. We hold that the ZSC should be reformulated, with fair participation of stakeholders, in accordance with Brazil’s legal requirements. At least 30% of the savannas should be protected, local family farming should be supported, and the rights of traditional peoples must now be assured through recognition of their land rights. © The Author(s) 2017.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,,brazil
brazil,31,rayyan-335336798,"Use and availability of medicinal resources in Ouro Verde de Goiás, Goiás State, Brazil [Uso e disponibilidade de recursos medicinais no município de Ouro Verde de Goiás, GO, Brasil]",2008,1,1,,,22.0,2.0,,"Da Silva C.S.P., Proença C.E.B.",,,,,"The goal of this study was to conduct an ethnobotanical survey of the medicinal plants used by rural and urban communities in the town of Ouro Verde de Goiás, situated in the mato grosso goiano meso-region of the state of Goiás; to pinpoint species native to the Cerrado biome with potential for pharmacological studies based on corrected popular use concordance (CUPc); and to determine if ethnobotanical knowledge of medicinal plants from backyards differed by age, gender, education, place of birth and rural versus urban setting of the informant. Statistical tests applied were Kruskal-Wallis (H) and Qui-square (χ2). Eighty-four informants were selected by random sampling and interviews were structured. The available sources of medicinal plants were: backyards, disturbed areas, gallery forests and deciduous dry forests. Ninety-eight species, distributed in 45 botanical families, were found, with cultivated exotics outnumbering native plants. In backyards, 78 species were cultivated, of which 39.7% were cited exclusively as medicinal, the remaining also being reported as food (39.7%) or ornamentals (20.5%). Twenty species were gathered from the surrounding vegetation, all of which are native to the Cerrado biome, except for Senna occidentalis which is weedy. Two species that occur in deciduous dry forest (Forsteronia refracta and Celtis iguanaea) had high CUPc (&gt; 50%), showing consensus of popular use. Forty-one percent of rural area informants reported gathering medicinal plants from native vegetation, which is significantly more than those in urban areas (16.7%). The number of species cited by informants with cultivated backyards was significantly greater than those that did not. The number of medicinal plants cited by informants and the presence of a backyard did not differ significantly among informants from different classes of gender, education, place of birth and rural versus urban dwelling.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: NTFP,brazil",,,brazil
brazil,129,rayyan-339919263,"Livestock Management Within a Traditional Agrosilvopastoral System in Northern Minas Gerais, Brazil: A Model for Reconciling Livelihoods and Conservation at a Time of Environmental Change",2022,1,1,,,50.0,1.0,,"Lima I.L.P., Alexiades M.N., Scariot A.",,,,,"We examine the ongoing transformation of the livestock raising component of a complex agrosilvopastoral management system associated with the Geraizeiro of northern Minas Gerais state, Brazil. Increasing droughts and regional climate change, associated with large-scale corporate enclosures of upland rangelands and conversion to eucalyptus plantations for industrial charcoal production have undermined solta, a customary form of extensive cattle raising and centerpiece of Geraizeiro lifeways. In response, farmers are adapting and transforming another, more intense form of livestock raising associated with managed agroforestry in lower-lying areas, manga. Using a social-ecological systems approach and drawing on extensive interviews and ecological inventories, we consider such changes within the overall integrity of the system, suggesting the need to reconsider the role of the Geraizeiros and their use of cattle and fire as a potentially useful tool in reconciling livelihoods and conservation, particularly amidst accelerating social and environmental change and the concomitant threats to the savanna biocultural biome. © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,,brazil
brazil,141,rayyan-339919381,"Aspects socialenvironmental of the charcoal production native origin in an area of savannah in Jerumenha, Piauí [Aspectos socioambientais da produção de carvão vegetal de origem nativa em uma área de cerrado em Jerumenha, Piauí/Brasil]",2016,1,1,,,37.0,3.0,,"Lima A.S., Santos K.P.P., Castro A.A.J.F.",,,,,"This study aimed to characterize the production of charcoal and the social and environmental aspects involving the activity in three charcoalfields in the 'Cerrado' of Piauí State, belonging to the municipality of Jerumenha. Data were collected from the observaton in loco and semi-structured interviews. The results showed that the majority of charcoal makers are male , married, with incomplete primary education . 65.9 % reported no illness . Most of the workers revealed that the activity did not cause impacts on the environment . In the face of significant production of the charcoal in the state , there is a need more studies to assess the impact caused on the environment.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado,charcoal",,,brazil
brazil,15,rayyan-335336172,How ethnobotany can aid biodiversity conservation: Reflections on investigations in the semi-arid region of NE Brazil,2009,1,1,,,18.0,1.0,,"De Albuquerque U.P., De Sousa Araújo T.A., Ramos M.A., Do Nascimento V.T., De Lucena R.F.P., Monteiro J.M., Alencar N.L., De Lima Araújo E.",,,,,"Ethnobotany is a relatively new discipline but its social and scientific roles are becoming more consistently defined and its importance as a tool for complimenting management and conservation strategies at local and regional levels is now well recognized by the scientific community throughout the world. In the present work we have collected information from four years of ethnobotanical study in an area of caatinga vegetation in the semi-arid region of northeastern Brazil with the goal of defining a model for conservation and management actions in the region. Drawing on ethnobotanical and ecological information obtained through traditional techniques of ethnobotanical and vegetation surveys, we discuss the uses of 166 native and exotic plant species and suggest specific actions and specific groups of species for conservation and sustainable use programs. We also discuss the limitations of our approach and indicate what information must still be collected in order to construct robust and workable plans of action. © 2008 Springer Science+Business Media B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,land use",,,brazil
brazil,90,rayyan-339918984,Biophysical and Socioeconomic Factors Associated to Deforestation and Forest Recovery in Brazilian Tropical Dry Forests,2020,1,1,,,3.0,,,"Espírito-Santo M.M.D., Rocha A.M., Leite M.E., Silva J.O., Silva L.A.P., Sanchez-Azofeifa G.A.",,,,,"The determination of land cover changes (LCCs) and their association to biophysical and socioeconomic factors is vital to support government policies toward the sustainable use of natural resources. The present study aimed to quantify deforestation, forest recovery and net cover change in tropical dry forests (TDFs) in Brazil from 2007 to 2016, and investigate how they are associated to biophysical and socioeconomic factors. We also assessed the effects of LCC variables in human welfare indicators. For this purpose, we used MODIS imagery to calculate TDF gross loss (deforestation), gross gain (forest recovery) and net cover change (the balance between deforestation and forest recovery) for 294 counties in three Brazilian states (Minas Gerais, Bahia, and Piauí). We obtained seven factors potentially associated to LCC at the county level: total county area, road density, humidity index, slope, elevation, and % change in human population and in cattle density. From 2007 to 2016, TDF cover increased from 76,693 to 80,964 km2 (+5.6%). This positive net change resulted from a remarkable forest recovery of 19,018 km2 (24.8%), offsetting a large deforested area (14,748 km2; 19.2%). Practically all these cover changes were a consequence of transitions from TDF to pastures and vice-versa, highlighting the importance of developing sustainable policies for cattle raising in TDF regions. Each LCC variable was associated to different set of factors, but two biophysical variables were significantly associated both to TDF area gained and lost per county: county area (positively) and slope (negatively), indicating that large and flat counties have very dynamic LCCs. The TDF net area change was only associated (negatively) to the humidity index, reflecting an increase in TDF cover in more arid counties. The net increase in Brazilian TDF area is likely a result from an interplay of biophysical and socioeconomic factors that reduced deforestation and caused pasture abandonment. Although the ecological integrity and permanence of secondary TDFs need further investigation, the recovery of this semi-arid ecosystem must be valued and accounted for in the national forest restoration programs, as it would significantly help achieving the goals established in the Bonn agreement and the Atlantic Rain Forest pact. © Copyright © 2020 Espírito-Santo, Rocha, Leite, Silva, Silva and Sanchez-Azofeifa.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,context,minas gerais,socioeconomic",,,brazil
brazil,169,rayyan-339919618,Is the ''F Word'' an option for Brazilian farmers? The place of forestry in future integrated farming systems,2018,1,1,,,6.0,3.0,,"Pereira M.A., Costa F.P., de Almeida R.G.",,,,,"This study analyses the economic viability of forestry in integrated farming systems (IFS) in Brazil. A 12-year cash flow was built with both experimental data and estimates for three IFS in the Savannah region: ICL (crops + cattle); ICLF1 (ICL + 227 eucalyptus trees/ha); and ICLF2 (ICL + 357 eucalyptus trees/ha). Investment analysis showed all IFS were viable, but ICL was more profitable than ICLF, due to occasional high crops and beef prices and low wood prices in 2016. In extreme scenarios, i.e. all commodities prices were high (SCE I) or all low (SCE II), results remained the same. However, an alternative, most likely, scenario (SCE III) showed ICLF were more economically recommended than ICL, as beef and crop prices dropped and wood prices increased, which is expected because of commodities price volatility. Thus, the introduction of forestry in future IFS is economically viable, although market risks remain. Further adoption of IFS with trees relies on innovative and follower farmers, with strong support of R&D, technology transfer programmes and IFS policies. © 2014 International Farm Management Association and Institute of Agricultural Management.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,,brazil
brazil,46,rayyan-335337121,The socio-ecology of the Caatinga: Understanding how natural resource use shapes an ecosystem,2018,1,1,,,,,,Melo F.P.L.,,,,,"The use of natural resources can be a main source of disturbance to natural ecosystems if human populations depend heavily on biomass to attend to their basic needs. However, our understanding of how natural resource use affects natural ecosystems is insufficient. The Caatinga is the most populated dry forest worldwide, and inhabitants depend largely on the exploitation of the natural ecosystem for several purposes such as fuelwood and raising livestock. These constitute 'chronic anthropogenic disturbances' (CAD), the impacts of which, in the long run, may compete with habitat loss and impacts on ecosystem health. In this chapter I present a theoretical framework for the assessment of the impacts of three main sources of CAD on the Caatinga. I discuss how (1) firewood harvesting, (2) raising of free ranging goats, and (3) biological invasion are all linked to changes observed in the Caatinga biota. These sources of CAD are all linked to the socio-economic condition of human populations inhabiting the Caatinga and can be understood and, to some extent, quantified through socio-economic assessments. Finally, I propose a theoretical framework on how the original features of the Caatinga ecosystem may change as a function of the intensity of CAD, leading to two alternative states of both conserved and altered similarity to the original ecosystem. Understanding natural resource use by human populations is crucial to being able to assess the threats to biodiversity and ecosystem functions properly as well as to design conservation strategies to avoid both ecosystem degradation and depletion of human livelihoods. © Springer International Publishing AG 2017.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,farming context",,,brazil
brazil,122,rayyan-339919242,Uncovering the spatial variability of recent deforestation drivers in the Brazilian Cerrado,2020,1,1,,,275.0,,,"Trigueiro W.R., Nabout J.C., Tessarolo G.",,,,,"In recent years, the Cerrado deforestation has increased considerably, reaching rates higher than in the Amazonian realm. Although the effects of deforestation are well known, the understanding of its drives at regional levels is incipient. Most studies consider that a driver influences deforestation likewise in all regions. However, deforestation has a strong spatial structure that can lead drivers to vary their influence on deforestation in different regions. Here, we evaluated the spatial variability in the relationship between the recent Cerrado deforestation and socioeconomic, environmental, and structural drivers at a regional scale. We used a geographically weighted regression (GWR) to assess the spatial variability of predictor variables. We identified regions that respond similarly to the drivers by grouping municipalities, considering their GWR coefficients through hierarchical clustering. The analyses that consider the spatial variability of predictors are more appropriated to assess the causes of recent deforestation. Remnant natural vegetation influenced the recent deforestation in all defined regions. Greater access to rural credit concession was the main driving force of deforestation in the northeast region defined here. Distance to roads increased deforestation in the northeast and north regions, while it inhibited deforestation in the central-east and southeast regions. Rainfall inhibited deforestation in the northeast, north, and southwest regions. Steep slope prevented deforestation mainly in the northeast, north, and southwest regions. Our results highlight that, to effectively reduce Cerrado deforestation, public policies should integrate strategies focusing not only at national and biome levels but also at the regional spatial level. © 2020 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,,brazil
