key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-335336065,Trait-dependent responses of birds and bats to season and dry forest distance in tropical agroforestry,2022,1,1,,,325,,,"Ocampo-Ariza C., Maas B., Castro-Namuche J.P., Thomas E., Vansynghel J., Steffan-Dewenter I., Tscharntke T.",,,,,"Agricultural expansion and intensification increasingly threaten birds and bats, especially insectivorous species from the tropics. Cacao agroforests in tropical rainforest areas have been shown to support higher bird and bat biodiversity than other land-use systems, but their suitability for tropical dry forest biodiversity remains unclear. We present the first assessment of bird and bat diversity patterns in cacao agroforests inside tropical dry forest landscapes. We investigated the response of bird and bat species richness and abundance to forest distance and season across 12 smallholder, organic cacao agroforests and adjacent tropical dry forests in the Peruvian lowlands of Piura. We found that insectivorous bird abundance and species richness increased with forest distance in the dry but not in the rainy season, indicating the value of cacao agroforests for these birds when resources are scarce in forests. In the case of bats, we observed more species in agroforests with increasing forest distance independent of season, and the abundance of insectivorous species increased along the gradient. Other dietary groups and forest specialists of both taxa did not vary notably across the forest distance gradient. Our findings point to the relevance of cacao agroforests as alternative habitats for insectivorous birds and bats in tropical dry forest landscapes, especially during the dry season. We suggest that the maintenance of wildlife friendly cacao agroforests, parallel to dry forest conservation and restoration, creates win-win situations for both the conservation of tropical dry forest fauna and the maintenance of related ecosystem services from which cacao smallholders may benefit. © 2021 Elsevier B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: farming context",,
rayyan-335336126,"Socio-environmental diagnosis of the subtropical dry forest of the Rancheria River Basin, La Guajira, Colombia [Diagnóstico socioambiental del bosque seco subtropical de la cuenca del Río Ranchería, La Guajira, Colombia]",2016,1,1,,,20,2,,"Arteta B R., Molina L.L.",,,,,"A socio-environmental study of the Rancheria River Basin, in the department of La Guajira, Colombia was conducted during the month of March 2013 in order to gather relevant information for the design of a Natural Protected Area. Flora and fauna samplings, and physical and cartographic analyses were performed in an area of about 32 hectares of subtropical dry forest, and the socio-economic conditions and the use of goods and services of 98 communities living in the area were evaluated. The presence of 14 species included within the threatening categories of IUCN was determined. It was found that the 98 of the Wayuu ethnic communities visited, are below the poverty line and their livelihood depends basically on grazing and underemployment in urban centers nearby. The area offers the conditions and values to advance in a process to declare it as protected natural area.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia",,
rayyan-335336134,Beyond the blame game: A restoration pathway reconciles ecologists’ and local leaders’ divergent models of seasonally dry tropical forest degradation,2019,1,1,,,24,4,,"Jara-Guerrero A.K., Maldonado-Riofrío D., Espinosa C.I., Duncan D.H.",,,,,"An understanding of ecosystem dynamics under different scenarios of degradation is required to reverse ecological degradation and identify restoration priorities. Such knowledge can be the result of scientific investigation, but important insight can also reside in observant local land managers. In seasonally dry tropical forests in southern Ecuador, recent decades have seen important advances in the knowledge of the biodiversity values of these forests, but the available data have not yet been integrated and translated into tools that support managers in deciding restoration measures. One powerful framework to organize and communicate information about ecosystem degradation and recovery dynamics is the state-transition model. We generated such a model by combining ecologist and local knowledge obtained through an adaptation of the Stanford/SRI expert elicitation protocol. Through this information, we identified five forest states with specific attributes of vegetation, human pressures, and restoration needs. Ecologists and locals agreed on the restoration actions but partially disagreed on the causes of degradation. Whereas ecologists considered that grazing management, often introduced with or after logging, was the catalyst for a transition to degraded states, locals attributed those transitions to the effects of logging alone. Importantly, however, both ecologists and locals considered that exclusion of livestock grazing was a necessary action to promote ecological recovery. A forward-looking strategy focusing on objectives for ecosystem recovery and ecosystem management for biodiversity and human well-being might be more successful than strategies that emphasize or seek to attribute responsibility for degradation. © 2019 by the author(s).","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: ecuador",,
rayyan-335336152,The impact of El Niño phenomenon on dry forest-dependent communities' welfare in the northern coast of Peru,2020,1,1,,,178,,,"Pécastaing N., Chávez C.",,,,,"This study analyzes the impact of El Niño phenomenon on dry forest-dependent populations in northern Peru. First, we identified the districts within and outside the dry forest regions in the Peruvian departments of Piura, Tumbes, and Lambayeque. Second, using the Coastal El Niño index (ICEN), we classified, according to severity, the Coastal El Niño in this region in the 2008–2016 period. We used an econometric model called triple difference (DDD) to prove that after a Coastal El Niño, rural communities that depend on dry forests are 5% less likely to be poor than those not located in dry forest areas. This result demonstrates how important these forests are in reducing the vulnerability of these populations to a Coastal El Niño and justifies the importance of promoting the sustainable use of this ecosystem. © 2020 Elsevier B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: peru,economic context",,
rayyan-335336158,"Biodiversity conservation in Bolivia: History, trends and challenges",2005,1,1,,,,,,Ibisch P.L.,,,,,"Bolivia is one of the most biological diverse countries of the world maintaining vast, intact humid and dry forest ecosystems; yet, it is the poorest country in South America where both poverty and development lead to biodiversity degradation and loss. Conservation efforts have evolved rapidly from the first species-protection-laws in the nineteenth century, to the creation of the first national park in the mid-twentieth century, to the implementation of the U.N. Convention on Biological Diversity, the formulation of a national biodiversity strategy, and a current national protected-area- coverage of 16%. However, there are severe conflicts with accelerating economic and development. Threats in the most sensible ecoregions (e.g. population shifts from the Andes to the forest lowlands, increasing agricultural activities, growing activities of the oil and gas sector, deforestation, climate change) represent important conservation problems. Based on the current institutional, social, economic and ecological situation, the paper describes the general challenges for future biodiversity conservation. © 2005 Springer.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: bolivia,demography",,
rayyan-335336172,How ethnobotany can aid biodiversity conservation: Reflections on investigations in the semi-arid region of NE Brazil,2009,1,1,,,18,1,,"De Albuquerque U.P., De Sousa Araújo T.A., Ramos M.A., Do Nascimento V.T., De Lucena R.F.P., Monteiro J.M., Alencar N.L., De Lima Araújo E.",,,,,"Ethnobotany is a relatively new discipline but its social and scientific roles are becoming more consistently defined and its importance as a tool for complimenting management and conservation strategies at local and regional levels is now well recognized by the scientific community throughout the world. In the present work we have collected information from four years of ethnobotanical study in an area of caatinga vegetation in the semi-arid region of northeastern Brazil with the goal of defining a model for conservation and management actions in the region. Drawing on ethnobotanical and ecological information obtained through traditional techniques of ethnobotanical and vegetation surveys, we discuss the uses of 166 native and exotic plant species and suggest specific actions and specific groups of species for conservation and sustainable use programs. We also discuss the limitations of our approach and indicate what information must still be collected in order to construct robust and workable plans of action. © 2008 Springer Science+Business Media B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,land use",,
rayyan-335336183,Agriculture expansion and deforestation in seasonally dry forests of north-west Argentina,2005,1,1,,,32,2,,"Grau H.R., Gasparri N.I., Aide T.M.",,,,,"In Argentina, deforestation due to agriculture expansion is threatening the Semi-arid Chaco, one of the largest forested biomes of South America. This study focuses on the north-west boundary of the Argentine Semi-arid Chaco, where soybean is the most important crop. Deforestation was estimated for areas with different levels of soil and rainfall limitation for agriculture between 1972 and 2001, with a finer analysis in three periods starting in 1984, which are characterized by differences in rainfall, soybean price, production cost, technology-driven yield and national gross domestic product. Between 1972 and 2001, 588 900 ha (c. 20% of the forests) were deforested. Deforestation has been accelerating, reaching &gt;28 000 ha yr-1 after 1997. The initial deforestation was associated with black bean cultivation following an increase in rainfall during the 1970s. In the 1980s, high soybean prices stimulated further deforestation. Finally, the introduction of soybean transgenic cultivars in 1997 reduced plantation costs and stimulated a further increase in deforestation. The domestic economy had little association with deforestation. Although deforestation was more intense in the moister (rainfall &gt;600 mm yr-1) areas, more than 300 000 ha have already been deforested in the drier areas, suggesting that climatic limitations are being overcome by technological and genetic improvement. Furthermore, more than 300 000 ha of forest occur in sectors without major soil and rainfall limitations. If global trends of technology, soybean markets and climate continue, and no active conservation policies are applied, vast areas of the Chaco will be deforested in the coming decades. © 2005 Foundation for Environmental Conservation.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,
rayyan-335336242,"Charcoal production in the Argentine Dry Chaco: Where, how and who?",2015,1,1,,,27,,,"Rueda C.V., Baldi G., Gasparri I., Jobbágy E.G.",,,,,"Charcoal production has been widespread in the past and is still common where poor societies and dry forests coexist. For the Dry Chaco in South America, one of the largest remaining dry forests of the world, we describe the geographical distribution, type of production systems, environmental and social context and output of charcoal based on remote sensing (charcoal kiln detection); together with existing environmental (forest cover/biomass), social (population density, poverty), and infrastructure (roads) data. While most of the region has low kiln densities (&lt;1 kiln every 1000km2), foci of higher production were found in the north of Santiago del Estero and the west of Chaco provinces (&gt;1 kiln every 5km2). Individual or small groups (up to three units) prevail over the regions (58.2% of all kiln sites), frequently associated with a forest land cover. Large groups of kilns (≥12 units, 15.5% of all kilns) were associated with land cleared for cultivation. For a subset of kiln sites for which forest biomass data was available, we found that typical kiln sites (1-3 kilns) had half of the average biomass of the region within a radius of 125m. Although charcoal production in the whole region has been stable for 50years, a strong redistribution from richer to poorer provinces has taken place. At the county level, kiln density and charcoal production records showed a linear association that suggests an average output of 11 tons of charcoal per year per kiln. Comparing counties with high vs. low charcoal production with similarly high forest cover, the first had higher population density and poverty levels. Today small scale charcoal production by poor rural people represents the only significant use of forests products that provides some market incentive for their preservation. However this situation is associated with marginal social conditions, inefficient production, and forest degradation. Developing charcoal production under environmentally and socially virtuous conditions should be seen as a unique opportunity and an urgent challenge in the face of the fast deforestation of dry forests. © 2015 International Energy Initiative.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,
rayyan-335336252,Cultivating the dry forests of South America: Diversity of land users and imprints on ecosystem functioning,2015,1,1,,,123,,,"Baldi G., Houspanossian J., Murray F., Rosales A.A., Rueda C.V., Jobbágy E.G.",,,,,"In the South American dry forest of the Dry Chaco and Chiquitania, the area under cultivation rose from 10% to 19% over the last 10 years, and little biophysical, economical, or political constrains seem to prevent further expansion. Although typically associated to a homogeneous agribusiness system, agriculture and its expansion in this territory involve a diverse array of land users. Here we (i) identified and mapped the most conspicuous groups of land users based on existing scientific literature and technical reports, and (ii) described their associated landscape pattern and (iii) vegetation functioning based on different remote sensing tools applied to a set of 218 sample points. We recognized 14 groups of land users of local or foreign origin, composed by individuals or corporative organizations, and dedicated either to pasture or crop production, or its combination. These groups displayed a wide variation in the scale of their operations as suggested by a 60-fold difference in paddock sizes. Twelve years of MODIS-NDVI data showed small and non-significant differences in the magnitude of primary productivity (1.2-fold difference) but strong contrasts in its seasonality and long-term variability, including shifts in the rates of vegetation greening and browning (up to 4-fold differences), growing period length (193 to 278 daysy-1), number of cultivation seasons per year (1-1.75), and inter-annual coefficient of variation (up to 0.13). Agriculture under capitalized groups was characterized by very large paddocks, less stable productivity patterns, and more divergent seasonality. Instead, all smallholders showed more stable productivities both seasonally and inter-annually. Deforestation and cultivation in these dry regions does not have a single imprint on landscapes configuration and primary production dynamics, but one that shifts depending on the human and productive context under which they take place. © 2014 Elsevier Ltd.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,bolivia,chiquitano,actor focus,land system focus",,
rayyan-335336258,The role of soybean production as an underlying driver of deforestation in the South American Chaco,2017,1,1,,,45,,,"Fehlenberg V., Baumann M., Gasparri N.I., Piquer-Rodriguez M., Gavier-Pizarro G., Kuemmerle T.",,,,,"South America's tropical dry forests and savannas are under increasing pressure from agricultural expansion. Cattle ranching and soybean production both drive these forest losses, but their relative importance remains unclear. Also unclear is how soybean expansion elsewhere affects deforestation via pushing cattle ranching to deforestation frontiers. To assess these questions, we focused on the Chaco, a 110 million ha ecoregion extending into Argentina, Bolivia, and Paraguay, with about 8 million ha of deforestation in 2000–2012. We used panel regressions at the district level to quantify the role of soybean expansion in driving these forest losses using a wide range of environmental and socio-economic control variables. Our models suggest that soybean production was a direct driver of deforestation in the Argentine Chaco only (0.08 ha new soybean area per ha forest lost), whereas cattle ranching was significantly associated with deforestation in all three countries (0.02 additional cattle per hectare forest loss). However, our models also suggested Argentine soybean cultivation may indirectly be linked to deforestation in the Bolivian and Paraguayan Chaco. We furthermore found substantial time-delayed effects in the relationship of soybean expansion in Argentina and Paraguay (i.e., soybean expansion in one year resulted in deforestation several years later) and deforestation in the Chaco, further suggesting that possible displacement effects within and between Chaco countries may at least partly drive forest loss. Altogether, our study showed that deforestation in the Chaco appears to be mainly driven by the globally surging demand for soybean, although regionally other proximate drivers are sometimes important. Steering agricultural production in the Chaco and other tropical dry forests onto sustainable pathways will thus require policies that consider these scale effects and that account for the regional variation in deforestation drivers within and across countries. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,land use,argentina,socioeconomic,farming context",,
rayyan-335336333,Land tenure and biological communities in dry Chaco forests of northern Argentina,2015,1,1,,,123,,,"Marinaro S., Grau H.R., Macchi L., Zelaya P.V.",,,,,"Environmental factors and land use control habitat quality and resources availability, thus regulating species distribution. Land tenure in general, and particularly traditional indigenous properties, strongly influence land use in forest ecosystems, but their association with biodiversity is poorly explored. We surveyed 43 forests in the Northern Argentina Gran Chaco, to (1) compare species diversity and composition of birds, mammals and trees between land tenures across a 17 million-hectares region; and to (2) compare diversity between Wichí indigenous properties and non-indigenous properties, within a more restricted geographic range to control for climatic and soil factors (n = 19). Contrary to our expectations, protected areas did not include higher biodiversity, although they showed higher densities of species specifically targeted for human harvest. Wichí properties were the most original regime in terms of community composition of birds and trees. Every land tenure had particular indicator bird and tree species; thus a territorial conservation strategy could include a combination of all them, with a special focus on indigenous properties. Land tenure differences in biodiversity could be the complex result of different habitat quality derived from land use practices and of different geographic location. © 2014 Elsevier Ltd.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,
rayyan-335336353,"A multi-criteria assessment for native forest policy analysis: the case of Caldén forest in the province of Córdoba, Argentina",2021,1,1,,,23,4,,"Tello D.S., de Prada J.D., Cristeche E.R.",,,,,"The objective of this work is to develop a discrete multi-criteria model to evaluate different conservation policies for Caldén dry forest in the South of the Province of Córdoba, Argentina. The application of the PROMETHEE multi-criteria method integrates a private cost–benefit analysis that describes the policy effects on farms and a contingent valuation study that describes the valuation of forest ecosystem services by the urban population of that region. The impact of five policy alternatives considering seven sustainability criteria was simulated. Criteria weighting was applied taking into account the preferences of theoretical decision-maker profiles and workshop participants. Our study finds that the most preferred alternatives are extension programs with and without prohibition of deforestation. The multi-criteria decision analysis shows an almost generalized coincidence, both in the simulation of theoretical weightings and in the workshop: The reforestation program with prohibition of deforestation is the best performance alternative, while deregulation is the alternative with the worst performance. Only when considering a free-market profile, deregulation has the best performance. It is concluded that multi-criteria methods facilitate the decision-making process, assessing policy alternatives by means of a wide range of criteria and by enabling different actors to express their preferences. Consequently, it constitutes a useful tool to support public decision making, particularly for policies related to the conservation of dry forests at local and global scales. © 2020, Springer Nature B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: caldenal,argentina",,
rayyan-335336360,Multiple perspectives on a biocultural environment: Landscape ethnoecology in the Brazilian dry forest,2021,1,1,,,186,,,"Menezes J., Baldauf C.",,,,,"Landscape ethnoecology is the study of the classification, perception, and interaction of human populations with landscapes. The main goals of this study are to understand how the rural communities of the Brazilian dry forest (Caatinga) recognize and classify different landscape units and to compare the folk classification thus obtained with scientific classification systems of Caatinga landscapes. A combination of semi-structured interviews, participatory mapping, and guided tours conducted with 51 participants in ten municipalities allowed the identification of nineteen landscape units. The comparison between the folk and scientific classifications of this biome reveals a good correspondence in several cases. However, regular and poor correspondences between scientific and folk classifications have been recorded as well. One of the identified differences was the greater number of landscape units recognized by the interviewees, which is likely connected to a high number of landscapes with similar features, but different dominant species, as well as the presence of anthropogenic landscapes in the folk classification. Since most of the Caatinga is constituted of landscapes modified by human activity, landscape ethnoecological studies on this biome may offer a more realistic and dynamic classification, complementing former classifications based exclusively on academic knowledge. © 2020 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,caatinga,land system focus",,
